date,region ,number_of_households,population_sum,population_male,population_female,population_18over_sum,population_18over_male,population_18over_female,population_65over_sum,population_65over_male,population_65over_female,  통  ,  반  ,area,composition_ratio
2023-11, 용호3동 ,5557,11330,5458,5872,10443,4997,5446,3695,1585,2110,21,135,2,7
2023-11, 용호4동 ,3677,7768,3714,4054,6994,3320,3674,2181,914,1267,14,90,2,6
2023-11, 용 당 동 ,3490,7883,3981,3902,6957,3501,3456,1910,875,1035,14,84,4,14
2023-11, 감만1동 ,4100,8892,4553,4339,7968,4075,3893,2418,1114,1304,26,181,3,10
2023-11, 감만2동 ,3328,6535,3209,3326,6024,2938,3086,2266,930,1336,14,85,1,3
2023-11, 우암동 ,5736,12314,6023,6291,11244,5443,5801,4034,1738,2296,29,219,1,5
2023-11, 문현1동 ,4856,11055,5440,5615,9838,4779,5059,2841,1207,1634,19,129,1,3
2023-11, 문현2동 ,4870,7895,3942,3953,7361,3654,3707,2115,899,1216,15,97,1,2
2023-11, 문현3동 ,7055,16416,7966,8450,14227,6851,7376,3558,1511,2047,23,155,1,3
2023-11, 문현4동 ,4354,8901,4316,4585,8169,3936,4233,2478,1038,1440,17,126,1,3
2023-12, 대연1동 ,9255,15323,7751,7572,14428,7312,7116,3758,1602,2156,31,175,1,4
2023-12, 대연3동 ,16531,32941,16141,16800,28107,13599,14508,4620,2002,2618,33,289,4,14
2023-12, 대연4동 ,6141,13475,6530,6945,11588,5580,6008,3319,1398,1921,20,156,1,4
2023-12, 대연5동 ,8477,16637,7948,8689,14838,6994,7844,3737,1607,2130,18,112,1,4
2023-12, 대연6동 ,5838,14746,7082,7664,11925,5667,6258,2542,1117,1425,16,108,1,4
2023-12, 용호1동 ,17146,42915,20524,22391,36316,17189,19127,9132,3984,5148,43,361,2,6
2023-12, 용호2동 ,8149,19540,9461,10079,16518,7929,8589,4337,1963,2374,23,185,2,8
2023-12, 용호3동 ,5539,11270,5425,5845,10400,4970,5430,3690,1586,2104,21,135,2,7
2023-12, 용호4동 ,3677,7755,3711,4044,6982,3315,3667,2198,916,1282,14,90,2,6
2023-12, 용 당 동 ,3485,7867,3974,3893,6946,3498,3448,1908,878,1030,14,84,4,14
2023-12, 감만1동 ,4016,8713,4452,4261,7808,3987,3821,2372,1093,1279,26,181,3,10
2023-12, 감만2동 ,3330,6538,3209,3329,6031,2937,3094,2275,932,1343,14,85,1,3
2023-12, 우암동 ,5730,12281,6006,6275,11208,5419,5789,4040,1740,2300,29,219,1,5
2023-12, 문현1동 ,4835,10993,5405,5588,9786,4751,5035,2845,1206,1639,19,129,1,3
2023-12, 문현2동 ,4881,7916,3961,3955,7372,3668,3704,2126,907,1219,16,102,1,2
2023-12, 문현3동 ,7053,16395,7963,8432,14210,6847,7363,3565,1517,2048,23,155,1,3
2023-12, 문현4동 ,4344,8880,4308,4572,8151,3933,4218,2489,1044,1445,17,126,1,3
